drugClass,name
01,抗感染类药物
0101,抗生素类药物
010101,青霉素类(青霉素、氨苄西林、阿莫西林)
010102,头孢菌素类(头孢噻吩钠、头孢氨苄、头孢拉定)
010103,β-内酰胺酶抑制剂(苏巴坦)
010104,氨基糖苷类(庆大霉素、阿米卡星)
010105,四环素类(四环素、金霉素、半诺环素)
010106,酰胺醇类(氯霉素)
010107,大环内酯类(红霉素、麦迪霉素、罗红霉素、克拉霉素、阿奇霉素)
010108,其他抗菌抗生素(多粘菌素E)
0102,合成的抗菌药
010201,磺胺类(环胺嘧啶)
010202,硝基呋喃类(呋喃妥因)
010203,喹诺酮类(诺氟沙星)
010204,硝咪唑类(甲硝唑、替硝唑)
0103,抗结核病药
010301,抗结核病药(异烟肼、利福平)
0104,抗麻风病药
010401,抗麻风病药(氨苯砜)
0105,抗病毒药
010501,抗病毒药(阿昔洛韦、利巴韦林)
0106,抗真菌药
010601,抗真菌药(咪康唑)
0107,抗寄生虫病药物
010701,抗疟疾病药物(青蒿素)
02,麻醉药及其辅助药物
0201,全身麻醉药(硫喷妥钠)
0202,局部麻醉药(利多卡因、苯佐卡因)
0203,骨骼肌松弛药(泮库溴铵)
03,神经类药物
0301,中枢兴奋药(甲氯芬酯、茴拉西坦)
0302,镇痛药(哌替啶、曲马朵)
0303,解热、镇痛、抗炎药
030301,解热镇痛药(对乙酰氨基酚(扑热息痛))
030302,抗炎镇痛药(双氯芬酸、布洛芬)
030303,抗痛风药(别嘌醇)
030304,抗偏头痛药(麦角胺咖啡因片)
0304,镇静催眠药
030401,巴比妥类(戊巴比妥)
030402,苯二氮卓类(氯西泮)
030403,其它类(加兰他敏)
0305,抗癫痫药(苯妥英钠、卡马西平)
0306,抗震颤麻痹药(卡比多巴、苯海拉明)
0307,治眩晕药(倍他司汀)
0308,脑代谢及循环改善剂(长春西丁)
04,精神类药物
0401,抗精神病药
040101,吩噻嗪类(氯丙嗪、氟哌啶醇)
040102,硫杂蒽类(氯哌噻吨)
040103,其他抗精神病药(氯氮平)
040104,长效抗精神病药(哌泊噻嗪棕榈酸酯)
0402,抗焦虑药
040201,抗焦虑药(硝西泮、艾司唑仑)
0403,抗情感障碍药(丙咪嗪)
05,抗肿瘤类药物
0501,烷化剂(环磷酰胺)
0502,抗代谢药(甲氨喋呤)
0503,抗肿瘤抗生素(丝裂霉素)
0504,抗肿瘤植物成分(紫杉醇)
0505,抗肿瘤激素类(亮丙瑞林)
0506,其他抗肿瘤药及辅助治疗药(顺铂)
06,心血管类药物
0601,抗心绞痛药物
060101,硝酸脂类药物(硝酸甘油)
060102,钙拮抗药(维拉帕米、硝苯地平)
060103,其他抗心绞痛药物(普尼拉明)
0602,抗心律失常药
060201,膜反应抑制剂(奎尼丁)
060202,β-受体阻滞剂(盐酸艾司洛尔)
060203,动作电位时间延长剂(胺碘酮)
060204,其他抗心律失常药(苄普地尔)
0603,抗高血压药
060301,交感神经抑制剂(可乐定、乌拉地尔)
060302,血管扩张剂(硝普钠)
060303,钙离子拮抗剂(尼莫地平)
060304,血管紧张素转换酶抑制剂(马来酸依那普利)
0604,抗心力衰竭药物
060401,洋地黄类药物(洋地黄毒苷)
060402,非洋地黄类正性肌力药物(氨力农)
0605,抗休克药物(肾上腺素)
0606,调血脂药物(烟酸)
0607,抗血小板药物(川芎嗪)
0608,抗凝溶栓药物(肝素钠、尿激酶)
07,呼吸类药物
0701,祛痰药
070101,祛痰药(盐酸溴己新)
0702,镇咳药
070201,镇咳药(苯丙哌林)
0703,平喘药
070301,β-肾上腺素受体激动剂(盐酸克伦特罗)
070302,M胆碱受体拮抗剂(异丙托溴铵)
070303,磷酸二酯酶抑制剂(氨茶碱)
070304,过敏介质阻释剂(奈多罗米)
070305,肾上腺皮质激素(丙酸倍氯米松)
08,消化类药物
0801,抗酸及抗溃疡病药(雷尼替丁)
0802,胃肠解痉药(溴丙胺太林)
0803,止吐药及催吐药(多潘立酮)
0804,泻药及止泻药(硫酸镁、比沙可啶)
0805,肝胆胰疾病辅助用药(谷氨酸钠、美他多辛)
0806,酶及菌制剂(胃蛋白酶)
09,泌尿系统类药
0901,利尿药
090101,高效利尿药(呋噻米)
